actor,count,movies_with_actor,my_rating,avg_rating,diff_rating
MarkHamill,9,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Kingsman: The Secret Service', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'The Wild Robot', 'The Life of Chuck']",3.67,3.63,0.03
HarrisonFord,9,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Blade Runner', 'Apocalypse Now', 'The Conversation', 'Blade Runner 2049', 'Raiders of the Lost Ark']",4.00,4.09,-0.09
CarrieFisher,7,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'When Harry Met Sally...']",3.86,3.59,0.27
PeterCushing,1,['Star Wars'],4.00,4.16,-0.16
AlecGuinness,4,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'The Bridge on the River Kwai']",4.25,4.22,0.03
AnthonyDaniels,8,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Star Wars: The Rise of Skywalker', 'The Lego Movie']",3.38,3.50,-0.13
KennyBaker,5,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Amadeus']",3.30,4.02,-0.72
PeterMayhew,4,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens']",4.25,3.97,0.28
DavidProwse,3,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi']",4.17,4.22,-0.05
JamesEarlJones,4,"['Star Wars', 'Return of the Jedi', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Claudine']",4.12,4.09,0.04
PhilBrown,1,['Star Wars'],4.00,4.16,-0.16
ShelaghFraser,1,['Star Wars'],4.00,4.16,-0.16
JackPurvis,2,"['Star Wars', 'The Empire Strikes Back']",4.25,4.28,-0.03
AlexMcCrindle,1,['Star Wars'],4.00,4.16,-0.16
EddieByrne,1,['Star Wars'],4.00,4.16,-0.16
DreweHenley,1,['Star Wars'],4.00,4.16,-0.16
DenisLawson,2,"['Star Wars', 'Return of the Jedi']",4.00,4.12,-0.12
GarrickHagon,1,['Star Wars'],4.00,4.16,-0.16
JackKlaff,1,['Star Wars'],4.00,4.16,-0.16
WilliamHootkins,2,"['Star Wars', 'Raiders of the Lost Ark']",3.50,4.16,-0.66
BillyDeeWilliams,6,"['The Empire Strikes Back', 'Return of the Jedi', 'I Am Not Your Negro', 'The Conversation', 'Star Wars: The Rise of Skywalker', 'The Lego Movie']",3.58,3.83,-0.25
FrankOz,7,"['The Empire Strikes Back', 'Return of the Jedi', 'Inside Out', 'Star Wars: The Last Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Knives Out', 'An American Werewolf in London']",3.57,3.73,-0.16
JeremyBulloch,1,['The Empire Strikes Back'],4.50,4.40,0.10
JasonWingreen,1,['The Empire Strikes Back'],4.50,4.40,0.10
JohnHollis,1,['The Empire Strikes Back'],4.50,4.40,0.10
DesWebb,1,['The Empire Strikes Back'],4.50,4.40,0.10
KathrynMullen,1,['The Empire Strikes Back'],4.50,4.40,0.10
MarjorieEaton,1,['The Empire Strikes Back'],4.50,4.40,0.10
CliveRevill,1,['The Empire Strikes Back'],4.50,4.40,0.10
KennethColley,2,"['The Empire Strikes Back', 'Return of the Jedi']",4.25,4.25,0.00
JulianGlover,1,['The Empire Strikes Back'],4.50,4.40,0.10
SebastianShaw,1,['Return of the Jedi'],4.00,4.09,-0.09
IanMcDiarmid,3,"['Return of the Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Star Wars: The Rise of Skywalker']",2.50,3.17,-0.67
MichaelPennington,1,['Return of the Jedi'],4.00,4.09,-0.09
MichaelCarter,1,['Return of the Jedi'],4.00,4.09,-0.09
TimRose,1,['Return of the Jedi'],4.00,4.09,-0.09
DermotCrowley,2,"['Return of the Jedi', 'The Death of Stalin']",3.50,3.94,-0.44
CarolineBlakiston,1,['Return of the Jedi'],4.00,4.09,-0.09
EmilyBlunt,5,"['Sicario', 'Edge of Tomorrow', 'The Devil Wears Prada', 'Oppenheimer', 'The Fall Guy']",3.70,3.83,-0.13
BeniciodelToro,7,"['Sicario', 'Sin City', 'Guardians of the Galaxy', 'Fear and Loathing in Las Vegas', 'Star Wars: The Last Jedi', 'The French Dispatch of the Liberty, Kansas Evening Sun', 'One Battle After Another']",4.00,3.71,0.29
JoshBrolin,10,"['Sicario', 'No Country for Old Men', 'Avengers: Infinity War', 'The Goonies', 'Deadpool 2', 'Dune', 'Avengers: Endgame', 'Dune: Part Two', 'The Running Man', 'Wake Up Dead Man']",3.60,3.88,-0.28
VictorGarber,3,"['Sicario', 'Argo', 'Legally Blonde']",4.17,3.85,0.31
JonBernthal,5,"['Sicario', 'The Wolf of Wall Street', 'Snitch', 'Baby Driver', 'Wind River']",3.60,3.64,-0.04
DanielKaluuya,4,"['Sicario', 'Get Out', 'Nope', 'Black Panther']",3.62,3.88,-0.25
JeffreyDonovan,1,['Sicario'],4.50,4.00,0.50
RaoulMaxTrujillo,1,['Sicario'],4.50,4.00,0.50
JulioCesarCedillo,1,['Sicario'],4.50,4.00,0.50
HankRogerson,1,['Sicario'],4.50,4.00,0.50
BernardoP.Saracino,1,['Sicario'],4.50,4.00,0.50
MaximilianoHernández,2,"['Sicario', 'Captain America: The Winter Soldier']",4.50,3.88,0.62
KevinWiggins,1,['Sicario'],4.50,4.00,0.50
EdgarArreola,1,['Sicario'],4.50,4.00,0.50
KimLarrichio,1,['Sicario'],4.50,4.00,0.50
JesusNevarez-Castillo,1,['Sicario'],4.50,4.00,0.50
DylanKenin,2,"['Sicario', 'Gold']",3.25,3.56,-0.31
JohnTrejo,1,['Sicario'],4.50,4.00,0.50
MartyLindsey,1,['Sicario'],4.50,4.00,0.50
AlexKnight,1,['Sicario'],4.50,4.00,0.50
MattDamon,13,"['The Martian', 'Interstellar', 'The Departed', 'Dogma', 'The Bourne Identity', 'The Bourne Supremacy', 'The Bourne Ultimatum', 'Jason Bourne', 'EuroTrip', 'Good Will Hunting', 'Chasing Amy', ""Ocean's Eleven"", 'Oppenheimer']",3.19,3.78,-0.59
JessicaChastain,3,"['The Martian', 'Interstellar', 'Zero Dark Thirty']",3.50,3.98,-0.48
KristenWiig,7,"['The Martian', 'How to Train Your Dragon', 'How to Train Your Dragon 2', 'Ghostbusters', 'Her', 'Bridesmaids', 'The Secret Life of Walter Mitty']",3.43,3.63,-0.20
JeffDaniels,1,['The Martian'],4.00,3.80,0.20
MichaelPeña,3,"['The Martian', 'Ant-Man', 'American Hustle']",3.67,3.45,0.21
SeanBean,3,"['The Martian', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']",4.17,4.25,-0.08
KateMara,3,"['The Martian', 'Brokeback Mountain', '127 Hours']",4.17,3.81,0.36
SebastianStan,7,"['The Martian', 'Captain America: The Winter Soldier', 'Captain America: Civil War', 'I, Tonya', 'Avengers: Infinity War', 'Dumb Money', 'Hot Tub Time Machine']",3.43,3.60,-0.17
AkselHennie,1,['The Martian'],4.00,3.80,0.20
ChiwetelEjiofor,7,"['The Martian', 'Children of Men', 'Doctor Strange', '12 Years a Slave', 'The Boy Who Harnessed the Wind', 'Inside Man', 'The Life of Chuck']",3.36,3.83,-0.47
BenedictWong,7,"['The Martian', 'Doctor Strange', 'Prometheus', 'Annihilation', 'Moon', 'Raya and the Last Dragon', 'Spider-Man: No Way Home']",3.43,3.57,-0.15
MackenzieDavis,3,"['The Martian', 'Blade Runner 2049', 'Tully']",3.83,3.83,0.00
DonaldGlover,2,"['The Martian', 'Spider-Man: Homecoming']",3.25,3.64,-0.39
NickMohammed,2,"['The Martian', 'Chicken Run: Dawn of the Nugget']",3.50,3.45,0.05
ChenShu,1,['The Martian'],4.00,3.80,0.20
EddyKoHung,1,['The Martian'],4.00,3.80,0.20
EnzoCilenti,1,['The Martian'],4.00,3.80,0.20
JonathanAris,3,"['The Martian', 'Rogue One: A Star Wars Story', 'Black Mirror: Bandersnatch']",3.67,3.63,0.04
GruffuddGlyn,1,['The Martian'],4.00,3.80,0.20
GeoffreyThomas,1,['The Martian'],4.00,3.80,0.20
AmyPoehler,3,"['Inside Out', 'Tenacious D in The Pick of Destiny', 'Inside Out 2']",3.83,3.63,0.21
PhyllisSmith,2,"['Inside Out', 'Inside Out 2']",3.75,3.69,0.06
RichardKind,3,"['Inside Out', 'Cars', 'Argo']",4.33,3.82,0.52
BillHader,3,"['Inside Out', 'Finding Dory', 'Her']",3.83,3.69,0.14
LewisBlack,2,"['Inside Out', 'Inside Out 2']",3.75,3.69,0.06
MindyKaling,2,"['Inside Out', 'The Night Before']",3.50,3.46,0.04
KaitlynDias,1,['Inside Out'],4.50,3.83,0.67
