director,count,movies_from_director,my_rating,avg_rating,diff_rating
GeorgeLucas,2,"['Star Wars', 'Star Wars: Episode I – The Phantom Menace']",2.50,3.63,-1.13
IrvinKershner,1,['The Empire Strikes Back'],4.50,4.40,0.10
RichardMarquand,1,['Return of the Jedi'],4.00,4.09,-0.09
DenisVilleneuve,8,"['Sicario', 'Prisoners', 'Polytechnique', 'Blade Runner 2049', 'Arrival', 'Incendies', 'Dune', 'Dune: Part Two']",4.06,4.12,-0.06
RidleyScott,6,"['The Martian', 'Blade Runner', 'Alien', 'Prometheus', 'Alien: Covenant', 'Gladiator']",3.83,3.79,0.05
PeteDocter,2,"['Inside Out', 'Up']",3.50,3.96,-0.46
AlexGarland,2,"['Ex Machina', 'Annihilation']",3.50,3.76,-0.26
FrancisLawrence,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
PeytonReed,2,"['Ant-Man', 'Yes Man']",3.25,3.19,0.06
SamMendes,3,"['Spectre', 'American Beauty', '1917']",3.50,3.77,-0.27
StanleyKubrick,6,"['The Shining', '2001: A Space Odyssey', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Eyes Wide Shut', 'Paths of Glory', 'Barry Lyndon']",4.33,4.27,0.06
QuentinTarantino,7,"['Pulp Fiction', 'Reservoir Dogs', 'Kill Bill: Vol. 1', 'Django Unchained', 'The Hateful Eight', 'Inglourious Basterds', 'Once Upon a Time... in Hollywood']",4.14,4.15,-0.01
DavidFincher,8,"['Se7en', 'Gone Girl', 'Alien³', 'Fight Club', 'The Social Network', 'Zodiac', 'The Game', 'The Killer']",4.06,3.83,0.23
LanaWachowski,1,['The Matrix'],5.00,4.18,0.82
LillyWachowski,1,['The Matrix'],5.00,4.18,0.82
JonathanDemme,1,['The Silence of the Lambs'],4.00,4.34,-0.34
StevenSpielberg,10,"[""Schindler's List"", 'Jurassic Park', 'Bridge of Spies', 'Catch Me If You Can', 'Jaws', 'The Post', 'Ready Player One', 'West Side Story', 'E.T. the Extra-Terrestrial', 'Raiders of the Lost Ark']",3.85,3.87,-0.02
ChristopherNolan,9,"['Memento', 'Interstellar', 'Batman Begins', 'The Dark Knight Rises', 'Inception', 'Dunkirk', 'The Prestige', 'Tenet', 'Oppenheimer']",3.89,4.02,-0.13
AlfonsoCuarón,3,"['Children of Men', 'Gravity', 'Roma']",4.00,3.97,0.03
DarrenAronofsky,3,"['Requiem for a Dream', 'mother!', 'The Wrestler']",3.50,3.89,-0.39
BradBird,2,"['The Incredibles', 'The Iron Giant']",4.50,4.18,0.32
AngLee,1,['Brokeback Mountain'],4.50,4.15,0.35
AlejandroGonzálezIñárritu,1,['Birdman or (The Unexpected Virtue of Ignorance)'],5.00,4.00,1.00
RobertRodriguez,3,"['Sin City', 'From Dusk Till Dawn', 'Machete']",3.00,3.43,-0.43
FrankMiller,1,['Sin City'],4.00,3.70,0.30
BennettMiller,1,['Moneyball'],4.00,3.92,0.08
DanGilroy,1,['Nightcrawler'],4.00,4.04,-0.04
JossWhedon,2,"['The Avengers', 'Avengers: Age of Ultron']",3.75,3.48,0.27
ScottWaugh,1,['Need for Speed'],2.00,2.69,-0.69
SteveMcQueen,3,"['Shame', '12 Years a Slave', 'Hunger']",3.83,3.98,-0.15
MartinScorsese,8,"['The Wolf of Wall Street', 'The Departed', 'Raging Bull', 'Taxi Driver', 'Mean Streets', 'The Irishman', 'Killers of the Flower Moon', 'The King of Comedy']",3.88,4.07,-0.19
DannyBoyle,2,"['127 Hours', 'Slumdog Millionaire']",4.00,3.71,0.29
JohnLasseter,3,"['Cars', 'Toy Story 2', 'Toy Story']",4.00,3.98,0.02
PaulGreengrass,4,"['Captain Phillips', 'The Bourne Supremacy', 'The Bourne Ultimatum', 'Jason Bourne']",3.38,3.53,-0.15
FrankDarabont,1,['The Green Mile'],4.50,4.28,0.22
RonHoward,4,"['The Da Vinci Code', 'Rush', 'Inferno', 'Thirteen Lives']",3.00,3.38,-0.38
ThomasVinterberg,3,"['The Hunt', 'Another Round', 'The Celebration']",4.17,4.24,-0.07
GaryRoss,1,['The Hunger Games'],3.50,3.80,-0.30
BenAffleck,1,['Argo'],4.50,3.73,0.77
PhilLord,2,"['21 Jump Street', 'The Lego Movie']",3.25,3.73,-0.48
ChristopherMiller,2,"['21 Jump Street', 'The Lego Movie']",3.25,3.73,-0.48
McG,1,['This Means War'],2.00,2.65,-0.65
DavidO.Russell,1,['American Hustle'],3.50,3.35,0.15
GuillermodelToro,4,"['Pacific Rim', 'The Shape of Water', 'Hellboy', ""Pan's Labyrinth""]",3.38,3.68,-0.31
ShaneBlack,3,"['Iron Man 3', 'The Nice Guys', 'Kiss Kiss Bang Bang']",3.00,3.55,-0.55
ChrisBuck,1,['Frozen'],4.00,3.50,0.50
JenniferLee,1,['Frozen'],4.00,3.50,0.50
Jean-MarcVallée,1,['Dallas Buyers Club'],4.50,4.02,0.48
PeterJackson,5,"['The Hobbit: The Desolation of Smaug', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']",3.60,4.09,-0.49
BazLuhrmann,1,['The Great Gatsby'],2.50,3.46,-0.96
JamesGunn,3,"['Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2', 'Guardians of the Galaxy Vol. 3']",3.17,3.79,-0.63
RichardLinklater,7,"['Boyhood', 'A Scanner Darkly', 'Hit Man', 'Dazed and Confused', 'Before Sunrise', 'Before Sunset', 'Before Midnight']",3.64,3.90,-0.25
JoeRusso,4,"['Captain America: The Winter Soldier', 'Captain America: Civil War', 'Avengers: Infinity War', 'Avengers: Endgame']",3.75,3.85,-0.10
AnthonyRusso,4,"['Captain America: The Winter Soldier', 'Captain America: Civil War', 'Avengers: Infinity War', 'Avengers: Endgame']",3.75,3.85,-0.10
DougLiman,2,"['Edge of Tomorrow', 'The Bourne Identity']",3.50,3.75,-0.25
MortenTyldum,1,['The Imitation Game'],4.50,3.84,0.66
WashWestmoreland,1,['Still Alice'],4.00,3.73,0.27
RichardGlatzer,1,['Still Alice'],4.00,3.73,0.27
JoelEdgerton,1,['The Gift'],4.00,3.32,0.68
PaulFeig,3,"['Spy', 'Ghostbusters', 'Bridesmaids']",3.00,2.99,0.01
ClintEastwood,2,"['Mystic River', 'Juror #2']",3.75,3.62,0.12
AndrewStanton,2,"['Finding Nemo', 'Finding Dory']",3.75,3.65,0.10
RomanPolanski,3,"['The Pianist', ""Rosemary's Baby"", 'Chinatown']",4.33,4.30,0.03
RobertoBenigni,1,['Life Is Beautiful'],3.00,4.41,-1.41
MikeNewell,1,['Donnie Brasco'],3.50,3.82,-0.32
J.J.Abrams,2,"['Star Wars: The Force Awakens', 'Star Wars: The Rise of Skywalker']",3.50,2.77,0.73
PeterBerg,2,"['Battleship', 'Patriots Day']",1.50,2.88,-1.38
JordanRubin,1,['Zombeavers'],1.50,2.30,-0.80
MatthewVaughn,2,"['Kingsman: The Secret Service', 'Kingsman: The Golden Circle']",3.00,3.48,-0.48
DonSiegel,1,['Escape from Alcatraz'],4.00,3.77,0.23
ToddHaynes,1,['Carol'],4.00,4.02,-0.02
HayaoMiyazaki,5,"['My Neighbor Totoro', 'Spirited Away', ""Kiki's Delivery Service"", 'Porco Rosso', ""Howl's Moving Castle""]",3.30,4.23,-0.93
TimoVuorensola,1,['Iron Sky'],1.50,2.53,-1.03
DavidFrankel,1,['The Devil Wears Prada'],3.50,3.84,-0.34
JonathanLevine,2,"['50/50', 'The Night Before']",3.00,3.34,-0.34
JacquesAudiard,1,['Rust and Bone'],4.00,3.77,0.23
RobertMulligan,1,['To Kill a Mockingbird'],4.00,4.10,-0.10
DavidCronenberg,2,"['A Dangerous Method', 'Crash']",3.50,3.40,0.10
BrettMorgen,1,['Cobain: Montage of Heck'],4.00,3.96,0.04
MattHullum,1,['Lazer Team'],2.50,2.70,-0.20
ChrisWilliams,1,['Big Hero 6'],4.00,3.84,0.16
DonHall,2,"['Big Hero 6', 'Raya and the Last Dragon']",4.00,3.52,0.48
