Date,Name,URLSafeNames,Year,Rating,Letterboxd URI
12/12/2015,Star Wars,ANewHope,1977,4,https://boxd.it/72s
12/12/2015,The Empire Strikes Back,TheEmpireStrikesBack,1980,4.5,https://boxd.it/27Vw
12/12/2015,Return of the Jedi,ReturnoftheJedi,1983,4,https://boxd.it/27Vm
12/12/2015,Sicario,Sicario,2015,4.5,https://boxd.it/8i7u
12/12/2015,The Martian,TheMartian,2015,4,https://boxd.it/8SeG
12/12/2015,Inside Out,InsideOut,2015,4.5,https://boxd.it/4KHC
12/12/2015,Ex Machina,ExMachina,2015,3.5,https://boxd.it/7T2k
12/13/2015,The Hunger Games: Mockingjay Part 2,TheHungerGamesMockingjayPart2,2015,3.5,https://boxd.it/4hk0
12/13/2015,Ant-Man,AntMan,2015,3.5,https://boxd.it/3vmW
12/13/2015,Spectre,Spectre,2015,3,https://boxd.it/6bXY
12/13/2015,The Shining,TheShining,1980,4.5,https://boxd.it/29Nu
12/13/2015,Pulp Fiction,PulpFiction,1994,5,https://boxd.it/29Pq
12/13/2015,Se7en,Se7en,1995,5,https://boxd.it/29zs
12/13/2015,Reservoir Dogs,ReservoirDogs,1992,3.5,https://boxd.it/2agc
12/13/2015,The Matrix,TheMatrix,1999,5,https://boxd.it/2a1m
12/13/2015,The Silence of the Lambs,TheSilenceoftheLambs,1991,4,https://boxd.it/2aHW
12/13/2015,American Beauty,AmericanBeauty,1999,4.5,https://boxd.it/71Y
12/13/2015,Schindler's List,SchindlersList,1993,5,https://boxd.it/2aq2
12/13/2015,Kill Bill: Vol. 1,KillBill,2003,4,https://boxd.it/70w
12/13/2015,Memento,Memento,2000,4.5,https://boxd.it/2bcK
12/13/2015,Children of Men,ChildrenofMen,2006,4.5,https://boxd.it/1Y2i
12/13/2015,Requiem for a Dream,RequiemforaDream,2000,4.5,https://boxd.it/29VI
12/13/2015,The Incredibles,TheIncredibles,2004,5,https://boxd.it/1XLm
12/13/2015,Brokeback Mountain,BrokebackMountain,2005,4.5,https://boxd.it/2b2q
12/13/2015,Birdman or (The Unexpected Virtue of Ignorance),BirdmanorTheUnexpectedVirtueofIgnorance,2014,5,https://boxd.it/5RFA
12/13/2015,Gone Girl,GoneGirl,2014,4.5,https://boxd.it/6hQu
12/13/2015,Django Unchained,DjangoUnchained,2012,4.5,https://boxd.it/2cCk
12/13/2015,Sin City,SinCity,2005,4,https://boxd.it/2aVk
12/13/2015,Moneyball,Moneyball,2011,4,https://boxd.it/glS
12/13/2015,Nightcrawler,Nightcrawler,2014,4,https://boxd.it/780m
12/13/2015,The Avengers,TheAvengers,2012,4,https://boxd.it/1xFW
12/13/2015,Avengers: Age of Ultron,AvengersAgeofUltron,2015,3.5,https://boxd.it/3qi6
12/13/2015,Need for Speed,NeedforSpeed,2014,2,https://boxd.it/4p90
12/13/2015,Jurassic Park,JurassicPark,1993,4,https://boxd.it/2aA2
12/13/2015,Shame,Shame,2011,4,https://boxd.it/2CxU
12/13/2015,Interstellar,Interstellar,2014,4,https://boxd.it/4VZ8
12/13/2015,Batman Begins,BatmanBegins,2005,4,https://boxd.it/2aIg
12/13/2015,The Wolf of Wall Street,TheWolfofWallStreet,2013,4.5,https://boxd.it/3C1m
12/13/2015,127 Hours,OneHundredAndTwentySevenHours,2010,4,https://boxd.it/SLa
12/13/2015,Slumdog Millionaire,SlumdogMillionaire,2008,4,https://boxd.it/1S3E
12/13/2015,Cars,Cars,2006,4,https://boxd.it/29ho
12/13/2015,Captain Phillips,CaptainPhillips,2013,4,https://boxd.it/3GPK
12/13/2015,The Green Mile,TheGreenMile,1999,4.5,https://boxd.it/2agG
12/13/2015,The Da Vinci Code,TheDaVinciCode,2006,2.5,https://boxd.it/2a3i
12/13/2015,The Hunt,TheHunt,2012,4.5,https://boxd.it/3wEC
12/13/2015,The Hunger Games,TheHungerGames,2012,3.5,https://boxd.it/2uds
12/13/2015,Argo,Argo,2012,4.5,https://boxd.it/2czU
12/13/2015,21 Jump Street,TwentyOneJumpStreet2012,2012,4,https://boxd.it/J0
12/13/2015,This Means War,ThisMeansWar,2012,2,https://boxd.it/hba
12/13/2015,Gravity,Gravity,2013,3.5,https://boxd.it/GZY
12/13/2015,American Hustle,AmericanHustle,2013,3.5,https://boxd.it/5dz8
12/13/2015,Pacific Rim,PacificRim,2013,4,https://boxd.it/2cB2
12/13/2015,Iron Man 3,IronMan3,2013,3.5,https://boxd.it/2cBQ
12/13/2015,Frozen,Frozen,2013,4,https://boxd.it/3GNa
12/13/2015,Dallas Buyers Club,DallasBuyersClub,2013,4.5,https://boxd.it/4O8G
12/13/2015,The Hobbit: The Desolation of Smaug,TheHobbitTheDesolationofSmaug,2013,4,https://boxd.it/nmS
12/13/2015,The Great Gatsby,TheGreatGatsby,2013,2.5,https://boxd.it/JY
12/13/2015,Guardians of the Galaxy,GuardiansoftheGalaxy,2014,4,https://boxd.it/3VH2
12/13/2015,Boyhood,Boyhood,2014,3,https://boxd.it/3178
12/13/2015,Captain America: The Winter Soldier,CaptainAmericaTheWinterSoldier,2014,4.5,https://boxd.it/3r58
12/13/2015,Edge of Tomorrow,EdgeofTomorrow,2014,4,https://boxd.it/4pD0
12/13/2015,The Imitation Game,TheImitationGame,2014,4.5,https://boxd.it/6aig
12/13/2015,Still Alice,StillAlice,2014,4,https://boxd.it/8Nhq
12/13/2015,The Gift,TheGift,2015,4,https://boxd.it/aJMy
12/13/2015,Spy,Spy,2015,4,https://boxd.it/71Ks
12/13/2015,Mystic River,MysticRiver,2003,4,https://boxd.it/2aAG
12/13/2015,Finding Nemo,FindingNemo,2003,4,https://boxd.it/72i
12/13/2015,The Pianist,ThePianist,2002,4.5,https://boxd.it/2aqc
12/13/2015,Life Is Beautiful,LifeIsBeautiful,1997,3,https://boxd.it/29Wm
12/13/2015,Donnie Brasco,DonnieBrasco,1997,3.5,https://boxd.it/1YRA
12/17/2015,Star Wars: The Force Awakens,StarWarsTheForceAwakens,2015,4.5,https://boxd.it/4vru
12/18/2015,Battleship,Battleship,2012,1,https://boxd.it/QZ0
12/18/2015,Zombeavers,Zombeavers,2014,1.5,https://boxd.it/7tKg
12/22/2015,Kingsman: The Secret Service,KingsmanTheSecretService,2014,4,https://boxd.it/6dxe
12/25/2015,Escape from Alcatraz,EscapefromAlcatraz,1979,4,https://boxd.it/1Vwk
12/28/2015,Carol,Carol,2015,4,https://boxd.it/7DPK
12/30/2015,My Neighbor Totoro,MyNeighborTotoro,1988,4,https://boxd.it/20eA
1/2/2016,Yes Man,YesMan,2008,3,https://boxd.it/1WPW
1/2/2016,Bridge of Spies,BridgeofSpies,2015,4,https://boxd.it/9n9C
1/3/2016,Iron Sky,IronSky,2012,1.5,https://boxd.it/1VEI
1/4/2016,The Devil Wears Prada,TheDevilWearsPrada,2006,3.5,https://boxd.it/2awE
1/5/2016,50/50,FiftyFifty2011,2011,3.5,https://boxd.it/10Tw
1/6/2016,The Dark Knight Rises,TheDarkKnightRises,2012,4,https://boxd.it/H3m
1/11/2016,The Hateful Eight,TheHatefulEight,2015,4.5,https://boxd.it/8gw8
1/13/2016,The Departed,TheDeparted,2006,4,https://boxd.it/28MA
1/14/2016,Rust and Bone,RustandBone,2012,4,https://boxd.it/3mDE
1/17/2016,To Kill a Mockingbird,ToKillaMockingbird,1962,4,https://boxd.it/2a2E
1/20/2016,A Dangerous Method,ADangerousMethod,2011,3.5,https://boxd.it/IYo
1/29/2016,Cobain: Montage of Heck,CobainMontageofHeck,2015,4,https://boxd.it/akuY
2/2/2016,Lazer Team,LazerTeam,2015,2.5,https://boxd.it/8wHG
2/8/2016,Catch Me If You Can,CatchMeIfYouCan,2002,4,https://boxd.it/29VS
2/12/2016,Big Hero 6,BigHero6,2014,4,https://boxd.it/5rje
2/21/2016,Deadpool,Deadpool,2016,3.5,https://boxd.it/9fOC
2/24/2016,Rear Window,RearWindow,1954,4.5,https://boxd.it/2a6Q
2/24/2016,Vertigo,Vertigo,1958,5,https://boxd.it/2apI
2/25/2016,Hitchcock/Truffaut,HitchcockTruffaut,2015,3.5,https://boxd.it/biqi
3/2/2016,Roma,Roma1972,1972,4.5,https://boxd.it/1UNO
3/17/2016,The Swan Princess,TheSwanPrincess,1994,2.5,https://boxd.it/1AlK
3/26/2016,How to Train Your Dragon,HowtoTrainYourDragon,2010,4,https://boxd.it/1WRy
3/26/2016,How to Train Your Dragon 2,HowtoTrainYourDragon2,2014,4.5,https://boxd.it/2TRW
3/30/2016,Amour,Amour,2012,4.5,https://boxd.it/34Q6
4/1/2016,Dogma,Dogma,1999,3.5,https://boxd.it/284e
4/9/2016,American History X,AmericanHistoryX,1998,4,https://boxd.it/2bdo
4/14/2016,The Breakfast Club,TheBreakfastClub,1985,4,https://boxd.it/27q4
4/23/2016,Shaun of the Dead,ShaunoftheDead,2004,4.5,https://boxd.it/29J8
4/30/2016,The Grand Budapest Hotel,TheGrandBudapestHotel,2014,4.5,https://boxd.it/3ZqO
5/1/2016,The Jungle Book,TheJungleBook,2016,3,https://boxd.it/8wjk
5/2/2016,The Wizard of Oz,TheWizardofOz,1939,4,https://boxd.it/29Xu
5/3/2016,The Maltese Falcon,TheMalteseFalcon,1941,4,https://boxd.it/29c4
5/5/2016,12 Angry Men,TwelveAngryMen,1957,5,https://boxd.it/2auI
5/6/2016,Ratchet & Clank,RatchetAndClank2016,2016,1,https://boxd.it/6Tig
5/7/2016,Casablanca,Casablanca,1942,4.5,https://boxd.it/2aG0
5/8/2016,On the Waterfront,OntheWaterfront,1954,4,https://boxd.it/29TC
5/10/2016,Captain America: Civil War,CaptainAmericaCivilWar,2016,3.5,https://boxd.it/89Ja
5/11/2016,Dial M for Murder,DialMforMurder,1954,3.5,https://boxd.it/2adW
5/12/2016,All About Eve,AllAboutEve,1950,4.5,https://boxd.it/29LI
5/12/2016,Breakfast at Tiffany's,BreakfastatTiffanys,1961,3,https://boxd.it/2aYS
5/14/2016,Cat on a Hot Tin Roof,CatonaHotTinRoof,1958,2.5,https://boxd.it/2aK2
5/14/2016,It's a Wonderful Life,ItsaWonderfulLife,1946,4,https://boxd.it/28xA
5/18/2016,Psycho,Psycho,1960,4.5,https://boxd.it/2ab2
5/20/2016,The Bridge on the River Kwai,TheBridgeontheRiverKwai,1957,4.5,https://boxd.it/29wo
5/24/2016,A Streetcar Named Desire,AStreetcarNamedDesire,1951,4,https://boxd.it/29Mc
5/24/2016,The Seven Year Itch,TheSevenYearItch,1955,2.5,https://boxd.it/1VIK
5/28/2016,Citizen Kane,CitizenKane,1941,4.5,https://boxd.it/71O
6/11/2016,Warcraft,Warcraft,2016,1.5,https://boxd.it/2czK
6/13/2016,Elle,Elle,2016,3.5,https://boxd.it/bdhq
6/16/2016,The Nice Guys,TheNiceGuys,2016,3,https://boxd.it/94Hg
6/16/2016,The Wave,TheWave,2015,3,https://boxd.it/baoo
6/26/2016,Jane Eyre,JaneEyre,2011,3.5,https://boxd.it/15rs
6/28/2016,Finding Dory,FindingDory,2016,3.5,https://boxd.it/4aAA
7/11/2016,Frank,Frank,2014,4,https://boxd.it/5hII
7/14/2016,Ghostbusters,Ghostbusters,2016,2,https://boxd.it/Vm8
7/17/2016,Straight Outta Compton,StraightOuttaCompton,2015,3.5,https://boxd.it/8rMc
7/18/2016,Rush,Rush,2013,4,https://boxd.it/3lyS
7/18/2016,Neighbors 2: Sorority Rising,Neighbors2SororityRising,2016,2.5,https://boxd.it/aA80
7/19/2016,Jaws,Jaws,1975,4.5,https://boxd.it/2a5e
