Name,N words
127 Hours,2735
12 Angry Men,17658
12 Years a Slave,8058
13th,14875
1917,8237
2001 A Space Odyssey,4956
20th Century Women,9904
21 Jump Street,13642
25th Hour,13938
45 Years,6023
4 Months 3 weeks 2 Days,7754
50 50,10705
6 Souls,11015
About Dry Grasses,15434
Adaptation,10874
Ad Astra,6652
Aftersun,4602
Akira,10334
Alien,5860
Aliens,8373
Alien 3,9503
Alien Covenant,6726
Alien Resurrection,5189
All About Eve,16689
All About My Mother,8572
All That Jazz,11874
All The Presidents Men,17911
Amadeus,9523
American Beauty,8383
American History X,12148
American Hustle,21014
American Psycho,8906
Amour,6048
Anatomy of a Fall,13141
Andhadhun,7410
Annihilation,5604
Anora,3220
Another Round,7422
Ant-man,9454
Antichrist,3553
An American Werewolf in London,7453
Apocalypse Now,15939
April,6378
Are You There God Its Me Margaret,9534
Argo,3741
Arrival,7551
Assassins Creed,5842
As It Is in Heaven,6192
Atomic Blonde,5449
Atonement,4242
Austin Powers International Man of Mystery,7438
Avengers Age of Ultron,12209
Avengers Endgame,23571
Avengers Infinity War,9257
A Dangerous Method,7857
A Man Called Ove,7864
A Scanner Darkly,10682
A Separation,9813
A Single Man,6542
A Streetcar Named Desire,11809
A Woman Under the Influence,13183
Babygirl,7656
Babylon,4915
Baby Driver,9458
Back to the Future,10641
Badlands,7523
Bad Ass,11192
Barbie,5129
Barry Lyndon,13381
Batman Begins,9431
Battleship,8625
Battle of the Sexes,11388
Before Midnight,17560
Before Sunrise,10817
Before Sunset,12672
Before the Flood,13249
Being John Malkovich,9001
Benedetta,6274
Bennys Video,3299
Bicycle Thieves,6155
Big Hero 6,6576
Big Trouble in Little China,7583
Bill  Teds Excellent Adventure,10893
Birdman or (The Unexpected Virtue of Ignorance),11512
Bird Box,9285
BlacKkKlansman,15510
Black Bag,8065
Black Mirror Bandersnatch,24524
Black Panther,229
Blade Runner,6106
Blade Runner 2049,6106
Blood Simple,3433
Blow-Up,2276
Blow Out,9682
Blue Velvet,7105
Boogie Nights,16580
Booksmart,16578
Borat Subsequent Moviefilm,9354
Bottoms,9695
Boyhood,19441
Boyz n the Hood,9873
Bo Burnham Make Happy,7863
Brazil,5376
Breakfast at Tiffanys,10682
Breathless,6972
Bridesmaids,11201
Bride Wars,6801
Bridge of Spies,12113
Brokeback Mountain,7853
Broker,10029
Bugonia,9790
Bullhead,6792
Cache,6626
Call Me by Your Name,6059
Captain America Civil War,10758
Captain America The Winter Soldier,9713
Captain Fantastic,7739
Captain Phillips,13952
Carol,5783
Cars,11341
Casablanca,11508
Catch Me If You Can,12492
Cat on a Hot Tin Roof,12983
Chasing Amy,13963
Chernobyl,4009
Chicken Run Dawn of the Nugget,6942
Children of Men,7576
Chinatown,10315
Citizenfour,19908
Citizen Kane,12055
City of God,11912
Claudine,10915
Cleo from 5 to 7,6094
Close,6802
Closer,6802
Clueless,8164
Cobain Montage of Heck,13922
Companion,11349
Cool Hand Luke,8249
Crash,15621
Crazy Rich Asians,10564
Cries and whispers,3308
Cube,5766
